Grape,Winery,Appelation,State,Name,Year,Price,Score,Cases
Cabernet Sauvingnon,Sebastiani,Sonoma County,California,Cabernet Sauvignon,2006,18,87,120123
Cabernet Sauvingnon,Beringer,Knights Valley,California,Cabernet Sauvignon,2008,27,88,44500
Cabernet Sauvingnon,Caymus,Napa Valley,California,Special Selection,2008,130,94,15618
Cabernet Sauvingnon,Dry Creek,Dry Creek Valley,California,Cabernet Sauvignon,2007,25,87,15000
Cabernet Sauvingnon,Duckhorn,Napa Valley,California,Cabernet Sauvignon,2006,65,87,13744
Cabernet Sauvingnon,Turnbull,Napa Valley,California,Cabernet Sauvignon,2007,40,91,10000
Cabernet Sauvingnon,Darioush,Napa Valley,California,Cabernet Sauvignon,2007,80,94,8783
Cabernet Sauvingnon,Artesa,Napa-Sonoma counties,California,Elements,2006,18,86,8000
Cabernet Sauvingnon,Paul Hobbs,Napa Valley,California,Cabernet Sauvignon,2007,75,92,5653
Cabernet Sauvingnon,Girard,Napa Valley,California,Artistry,2008,40,88,4944
Cabernet Sauvingnon,Girard,Napa Valley,California,Artistry,2007,40,88,4600
Cabernet Sauvingnon,Round Pond Estate,Rutherford,California,Cabernet Sauvignon,2007,50,94,4018
Cabernet Sauvingnon,Chappellet,Napa Valley,California,Pritchard Hill,2007,135,96,3368
Cabernet Sauvingnon,Montes,Napa Valley,California,Napa Angel Aurelios Selection,2007,90,87,3000
Cabernet Sauvingnon,Louis M. Martini,Sonoma Valley,California,Monte Rosso Vineyard,2005,85,91,2550
Cabernet Sauvingnon,Frank Family,Rutherford,California,Reserve,2005,85,90,2400
Cabernet Sauvingnon,Merryvale,Napa Valley,California,Cabernet Sauvignon,2006,55,86,2284
Cabernet Sauvingnon,Cade,Napa Valley,California,Napa Cuvee,2006,60,91,2200
Cabernet Sauvingnon,Lewis,Napa Valley,California,Reserve,2006,125,95,2000
Cabernet Sauvingnon,Chimeney Rock,Stags Leap District,California,Elevage,2007,78,93,1952
Cabernet Sauvingnon,Ramey,Napa Valley,California,Annum,2007,85,95,1700
Cabernet Sauvingnon,Lewis,Napa Valley,California,Reserve,2007,130,95,1700
Cabernet Sauvingnon,Peter Franus,Napa Valley,California,Cabernet Sauvignon,2007,40,92,1369
Cabernet Sauvingnon,Guarachi,Napa Valley,California,Cabernet Sauvignon,2007,65,92,1269
Cabernet Sauvingnon,Veraison,Napa Valley,California,Stagecoach Vineyard,2005,60,93,1232
Cabernet Sauvingnon,Snowden,Napa Valley,California,The Ranch,2006,40,92,1200
Cabernet Sauvingnon,Pina,Napa Valley,California,DAdamo Vineyard,2007,75,93,1085
Cabernet Sauvingnon,Highlands,Napa Valley,California,Cabernet Sauvignon,2006,55,90,1000
Cabernet Sauvingnon,Chimeney Rock,Stags Leap District,California,Tomahawk Vineyard,2007,115,93,958
Cabernet Sauvingnon,Daou,Paso Robles,California,La Capilla Collection,2007,46,86,873
Cabernet Sauvingnon,Ehlers Estate,St. Helena,California,1886,2007,95,92,800
Cabernet Sauvingnon,Bucella,Napa Valley,California,Cabernet Sauvignon,2006,135,93,792
Cabernet Sauvingnon,Blue Rock,Alexander Valley,California,Cabernet Sauvignon,2006,47,86,784
Cabernet Sauvingnon,Boyanci,Napa Valley,California,InSpire,2007,60,92,715
Cabernet Sauvingnon,Hourglass,Napa Valley,California,Cabernet Sauvignon,2006,135,97,700
Cabernet Sauvingnon,Darioush,Napa Valley,California,Darius II,2007,225,96,698
Cabernet Sauvingnon,Fontanella Family,Mount Vedeer,California,Cabernet Sauvignon,2007,50,92,650
Cabernet Sauvingnon,Keever,Yountville,California,Cabernet Sauvignon,2007,90,92,650
Cabernet Sauvingnon,Fleming Jenkins,Napa Valley,California,Choreography,2006,50,88,643
Cabernet Sauvingnon,Dancing Hares,Napa Valley,California,Cabernet Sauvignon,2005,95,95,600
Cabernet Sauvingnon,Paul Hobbs,St. Helena,California,Beckstoffer Dr. Crane Vineyard,2007,150,97,586
Cabernet Sauvingnon,Neyers,Napa Valley,California,Neyers Ranch - Conn Valley,2007,48,95,575
Cabernet Sauvingnon,David Arthur,Napa Valley,California,Elevation 1147,2007,135,87,541
Cabernet Sauvingnon,Turnbull,Napa Valley,California,Black Label,2007,100,94,500
Cabernet Sauvingnon,Nickel & Nickel,Yountville,California,State Lane Ranch,2006,90,88,430
Cabernet Sauvingnon,Phifer Pavitt,Napa Valley,California,Date Night,2007,75,94,400
Cabernet Sauvingnon,Erna Schein,California,California,Jersey Boy,2007,50,88,384
Cabernet Sauvingnon,Penche,Napa Valley,California,Cabernet Sauvignon,2006,60,92,354
Cabernet Sauvingnon,Barrack,Santa Ynez Valley,California,Ten-Goal Happy Canyon Vineyards,2005,60,92,350
Cabernet Sauvingnon,Langtry,Lake County,California,Tephra Ridge Vineyard,2006,40,88,342
Cabernet Sauvingnon,Ilsley,Stags Leap District,California,Cabernet Sauvignon,2005,55,90,318
Cabernet Sauvingnon,Krutz Family,Napa Valley,California,Stagecoach Vineyard,2006,70,87,315
Cabernet Sauvingnon,The Four,Napa Valley,California,Cabernet Sauvignon,2006,75,93,310
Cabernet Sauvingnon,Prime,Napa Valley,California,District 4,2007,39,88,304
Cabernet Sauvingnon,PerryMoore,Oakville,California,Beckstoffer To Kalon Vineyard,2005,100,91,300
Cabernet Sauvingnon,Erna Schein,Napa Valley,California,Spare Me,2007,45,88,280
Cabernet Sauvingnon,Carter,Napa Valley,California,Coliseum Block,2007,125,92,277
Cabernet Sauvingnon,PerryMoore,St. Helena,California,Dr. Crane Vineyard,2005,100,90,250
Cabernet Sauvingnon,Morlet,Napa Valley,California,Couer de Valee,2007,175,92,250
Cabernet Sauvingnon,Casa Piena,Napa Valley,California,Cabernet Sauvignon,2006,125,93,240
Cabernet Sauvingnon,Janzen,Napa Valley,California,Beckstoffer To Kalon Vineyard,2007,135,92,235
Cabernet Sauvingnon,Carter,Napa Valley,California,Beckstoffer To Kalon Vineyard,2007,125,92,190
Cabernet Sauvingnon,Lewis,Napa Valley,California,Hillstone Vineyard,2008,130,94,180
Cabernet Sauvingnon,Cavus,Stags Leap District,California,Cabernet Sauvignon,2007,90,93,155
Cabernet Sauvingnon,Maldonado,Spring Mountain District,California,Peter Newton Vineyard,2006,92,88,126
Cabernet Sauvingnon,Dos Lagos,Atlas Peak,California,Cabernet Sauvignon,2007,125,88,120
Cabernet Sauvingnon,Pott,Oakville,California,Neruda Brix Vineyard,2008,90,90,73
Chardonnay,Bogle,California,California,Chardonnay,2009,10,88,250000
Chardonnay,Sebastiani,Sonoma County,California,Chardonnay,2007,13,88,82130
Chardonnay,Acacia,Carneros,California,Chardonnay,2007,22,87,70200
Chardonnay,Moon Mountain,Sonoma County,California,Chardonnay,2007,13,87,42250
Chardonnay,Cuvasion,Napa Valley,California,Carneros,2007,24,88,40000
Chardonnay,Rombauer,Carneros,California,Chardonnay,2007,32,91,40000
Chardonnay,Kunde Estate,Sonoma Valley,California,Chardonnay,2007,17,87,35000
Chardonnay,Artesa,Carneros,California,Chardonnay,2007,20,90,33000
Chardonnay,Far Niente,Napa Valley,California,Chardonnay,2007,56,91,30000
Chardonnay,Cakebread,Napa Valley,California,Chardonnay,2007,39,90,25000
Chardonnay,Beringer,Napa Valley,California,Private Reserve,2007,35,91,21900
Chardonnay,Chalone,Chalone,California,Chardonnay,2007,25,92,16801
Chardonnay,Beaulieu Vineyard,Napa Valley,California,Carneros,2007,17,90,15000
Chardonnay,Chalk Hill,Chalk Hill,California,Chardonnay,2005,45,90,15000
Chardonnay,Au Bon Climat,Santa Barbara County,California,Chardonnay,2007,20,91,12000
Chardonnay,Kunde Estate,Sonoma Valley,California,Reserve,2006,30,88,5800
Chardonnay,Beringer,Napa Valley,California,Sbraglia Limited-Release,2007,40,92,5600
Chardonnay,Shafer,California,California,Red Shoulder Ranch,2007,48,93,5500
Chardonnay,CC:,California,California,Chardonnay,2009,15,86,5000
Chardonnay,Talley,Arroyo Grande Valley,California,Chardonnay,2007,26,91,4603
Chardonnay,Domain Chandon,Carneros,California,Chardonnay,2006,26,91,4600
Chardonnay,Chateau St. Jean,Sonoma County,California,Reserve,2006,45,92,4600
Chardonnay,Gary Farrell,Russian River Valley,California,Russian River Selection,2008,32,89,4474
Chardonnay,Byron,Santa Maria Valley,California,Chardonnay,2007,26,90,4406
Chardonnay,Dutton-Goldfield,Russian River Valley,California,Dutton Ranch,2007,35,91,3981
Chardonnay,Morgan,Monterey County,California,Metallico Un-Oaked,2009,20,91,3800
Chardonnay,Kistler,Russian River Valley,California,Wine Hill Vineyard,2006,75,94,3640
Chardonnay,Kistler,Sonoma County,California,McCrea Vineyard,2006,75,95,3634
Chardonnay,Pahlmeyer,Napa Valley,California,Chardonnay,2007,70,92,3341
Chardonnay,Hanzell,Sonoma Valley,California,Chardonnay,2006,70,92,3253
Chardonnay,Truchard,Napa Valley,California,Carneros,2007,30,92,2930
Chardonnay,Napa Family,Napa Valley,California,Finest Selection Reserve,2007,10,86,2853
Chardonnay,Y3,Napa Valley,California,Chardonnay,2009,20,89,2820
Chardonnay,Peter Michael,Sonoma County,California,Ma Belle-Fille,2007,85,95,2780
Chardonnay,Sbragia Family,Dry Creek Valley,California,Home Ranch,2007,26,92,2657
Chardonnay,Peter Michael,Sonoma County,California,La Carrlere,2007,80,92,2549
Chardonnay,Orogeny,Green Valley of Russian River Valley,California,Chardonnay,2007,25,90,2500
Chardonnay,Ramey,Carneros,California,Chardonnay,2007,38,88,2500
Chardonnay,Freestone,Sonoma Coast,California,Ovation,2006,60,91,2500
Chardonnay,Peter Michael,Sonoma County,California,Belle Cote,2007,75,94,2500
Chardonnay,Rodney Strong,Russian River Valley,California,Reserve,2006,40,94,2448
Chardonnay,Merryvale,Carneros,California,Chardonnay,2007,35,91,2215
Chardonnay,Ramey,Sonoma Coast,California,Chardonnay,2007,38,90,2100
Chardonnay,Landmark,Sonoma County,California,Damaris Reserve ,2006,40,93,2000
Chardonnay,Robert Young,Alexander Valley,California,Chardonnay,2006,40,90,1990
